날짜,국립공원,도립공원,군립공원,산,자연생태관광지,자연휴양림,수목원,폭포,계곡,약수터,해안절경,해수욕장,섬,항구/포구,등대,호수,강,동굴,희귀동.식물,기암괴석,고궁,성,문,고택,생가,민속마을,유적지/사적지,사찰,종교성지,안보관광,관광단지,온천/욕장/스파,이색찜질방,헬스투어,테마공원,공원,유람선/잠수함관광,농.산.어촌 체험,전통체험,산사체험,이색체험,이색거리,발전소,식음료,기타,전자-반도체,자동차,다리/대교,기념탑/기념비/전망대,분수,동상,터널,유명건물,박물관,기념관,전시관,컨벤션센터,미술관/화랑,공연장,문화원,외국문화원,도서관,대형서점,문화전수시설,영화관,어학당,학교,문화관광축제,일반축제,전통공연,연극,뮤지컬,오페라,전시회,박람회,무용,클래식음악회,대중콘서트,영화,스포츠경기,기타행사,가족코스,나홀로코스,힐링코스,도보코스,캠핑코스,맛코스,수상레포츠,항공레포츠,수련시설,경기장,인라인(실내 인라인 포함),자전거하이킹,카트,골프,경마,경륜,카지노,승마,스키/스노보드,스케이트,썰매장,수렵장,사격장,"야영장,오토캠핑장",암벽등반,서바이벌게임,ATV,MTB,오프로드,번지점프,스키(보드) 렌탈샵,트래킹,윈드서핑/제트스키,카약/카누,요트,스노쿨링/스킨스쿠버다이빙,민물낚시,바다낚시,수영,래프팅,스카이다이빙,초경량비행,헹글라이딩/패러글라이딩,열기구,복합 레포츠,관광호텔,콘도미니엄,유스호스텔,펜션,모텔,민박,게스트하우스,홈스테이,서비스드레지던스,한옥,5일장,상설시장,백화점,면세점,대형마트,전문매장/상가,공예/공방,특산물판매점,사후면세점,한식,서양식,일식,중식,이색음식점,카페/전통찻집,클럽
2023-04-30,0.06504201889168491,0.06792413803873917,0.12884574244634414,0.08343691842422184,,0.08011258206528027,0.12496922605202361,0.07888074954005968,0.024014760378523483,0.0630565990977128,0.0,0.059502880348641124,0.07748668297595018,,0.0830102015758653,0.09703703939389359,0.07726370941705077,0.05879465867524512,,0.11418123099152493,0.10334310817108998,0.08898699031251166,0.08425732485357475,0.07901384878259887,0.08173579414697284,0.11782667210220776,,0.08997380019712382,0.0,0.06890870554082221,0.09474408267204609,,0.051253704885780724,0.09544801724047376,0.11215514523792183,0.09725841391356531,,,0.10781796687286205,0.15857056235543984,0.08458045780766925,0.0,0.07392736066323592,0.08769129053862429,0.08304133599064992,,0.07892361105080842,,,0.07644514608390902,0.05244443324959896,0.15728083075321542,0.0,0.07726354015386228,0.10618292871663423,0.10290426638023993,0.06272664912396882,,0.08913984062781621,0.08874069213619479,0.0,0.06601207490127858,0.07649361006867642,,0.08776561227174365,0.06672495427311138,0.0852341397788508,0.04891773944808137,,0.12082302262964263,0.08128625592687438,0.07892562325264642,0.08293922048483247,0.10847328763650996,0.0847875618175182,0.08688032222440288,0.13479010326795282,,0.0844916380920797,0.08583444416321132,0.0823017410144623,,,0.03444126687468834,0.0,,,0.09101112895022853,0.0,0.05079850348736305,0.07760545696278291,,0.13557888383092415,0.07741396960565138,0.0943030554126087,0.0897277591526692,0.08939704867193148,0.139263675339414,0.09619033310840412,,0.045339786990740795,0.003356258747616765,0.0,0.09375553816980628,0.1258874694462969,0.08873477718442585,0.10021183695498773,0.08251518570628633,0.0852274790941849,0.06875036176134701,0.07258642510037873,,0.08777858551578532,,,0.07679372342665976,,0.12399275292482434,0.1068187948685391,0.04087504846276052,0.04998297648976824,0.07408418897902404,0.0,,0.12896601125663004,,0.07571908685152307,0.08904338476583012,0.09557228606947206,0.10211597932336727,0.08789087721940778,0.09636490614451353,0.08943144070680317,0.08834416673139539,0.0,0.08327624922769625,0.10579497954721495,0.07081820960737531,0.07583863528317952,0.073028149061786,0.06676525883581005,,,,0.08406265282988273,0.06909836733551396,0.08500815283349436,0.06849161730562013,0.07258479270917066,0.11640923478732655,,0.0904701677062408
2023-05-31,0.08232862228580468,0.1089730619977866,0.09644119688338068,0.08376847660489288,,0.08639777654547696,0.10742129189309606,0.09213457156393676,0.055828392207625845,0.0636042359859792,0.2931595957994242,0.07530446667780874,0.08529453409647257,,0.08552870872228878,0.10058509683817336,0.08173980053138451,0.07107074628593946,,0.10609081863304513,0.09155497409215566,0.08573122451674407,0.08295316232609096,0.08074617481443563,0.08337166492624616,0.08745896863196556,,0.1173108128245404,0.0,0.09806743862134813,0.09915868541522335,,0.04387573041811154,0.09236904432394151,0.09995824377373502,0.10190211291529298,,,0.09369303262498054,0.030691076584923847,0.0851048094804504,0.0,0.08447751476339829,0.08792403649028442,0.08303062426707489,,0.07855911842795145,,,0.10061270208842261,0.0594855429214455,0.07548208696550145,0.0,0.08002020371327394,0.0974274611566115,0.09079342530269652,0.08086673142601415,,0.09129841708583934,0.08398948517098703,0.0,0.07373194876296071,0.0727069416565274,,0.09441373442684503,0.0712116859185244,0.09127729146495525,0.08096063541859636,,0.0926900373018021,0.07250688021071487,0.07391867918927687,0.09304327645212983,0.08906750787442785,0.0846482504054144,0.08428114636302353,0.1090640350171183,,0.07395461497220325,0.08845660476632139,0.06035002407015843,,,0.1799833946354681,0.0,,,0.15753844406133835,0.0,0.09709068279388657,0.09922196745925865,,0.12000918015533904,0.08282295657601134,0.09678765094510251,0.08153728390070256,0.0800885809569512,0.09872901992371572,0.09529073440476468,,0.04688718063433363,0.0032233943117841875,0.0101787138906945,0.0962598096149281,0.1328623645448276,0.09344057023837347,0.09816367460546432,0.08310627121559146,0.09501279963075447,0.08335337157075247,0.07834055475509817,,0.09480259310932815,,,0.12307683567169155,,0.11603622995742754,0.09760522762909948,0.04293987812371366,0.08224394007638006,0.10209468390626576,0.0,,0.085417880588028,,0.07002716892296748,0.08889642429834148,0.09392339924760126,0.10461816274646893,0.08535527765200417,0.09532340499177497,0.08745028335174046,0.0844885293402153,0.11850324751359516,0.09931276744903643,0.08506584533912351,0.06263084800709562,0.08087262183370439,0.0778456203958479,0.07322390882227416,,,,0.05575253043314235,0.06649208302065533,0.07664778799219785,0.0719159713596669,0.0770096437804877,0.12251133177214608,,0.0841322608563095
2023-06-30,0.06955662591767602,0.09244051345782626,0.10421681503596311,0.09159840727633407,,0.11699302755308592,0.09228443592960114,0.10439600723867495,0.17660779151094866,0.06863468227639122,0.25244298527172643,0.13408862163883425,0.07882715105044828,,0.08332197707586583,0.09468837328406773,0.0871195568528747,0.11513719374645456,,0.11253121122260873,0.0771643570017149,0.08093703799895204,0.07778674821490968,0.07744041469425589,0.0775197400796342,0.06575618630790542,,0.07595905329677141,0.1286307029656856,0.06404456761940681,0.0743916473571003,,0.0321297831367115,0.09226641030259014,0.07830712144177475,0.09348320872753729,,,0.08449407696072955,0.11417080794047198,0.08185294404898476,0.0,0.08074050537594853,0.08619276908974141,0.07690415239418508,,0.08004429199061319,,,0.08992767250750658,0.05970210942707343,0.08236335487104732,0.6465817009134377,0.0703926563257585,0.09885801011935809,0.08414029228130007,0.07611100274028855,,0.09478129271805193,0.08152360799429188,0.0,0.08251963793816779,0.07143270759759296,,0.09691888580755055,0.06536226226736146,0.08628559506096317,0.046721433171793066,,0.07864480382074922,0.0683060653203227,0.0676489125333181,0.08830193052456774,0.08797553636550105,0.08384919782047334,0.08516373602094218,0.08337017286255607,,0.06947405525226237,0.07858683365385506,0.04311759511143294,,,0.10332380062406503,0.0,,,0.22289142298189898,0.0,0.06032321947425026,0.09802116705400256,,0.11786324332272384,0.08498952635406895,0.0948236874277888,0.08011919652637937,0.08060184924014813,0.07459109201337051,0.0837825438162814,,0.05092515514536851,0.003727488125060889,0.002504286750885155,0.08105378772449925,0.07895404193463736,0.09661683652940238,0.07863951693771695,0.08871646517487891,0.09339044254554059,0.07289240496588482,0.09418736150654473,,0.08731082911118879,,,0.10627046602935417,,0.10817145527638701,0.08803882736741529,0.05624375793071525,0.15806466070474307,0.11463408388038158,0.0,,0.07381873331376143,,0.06982601764859911,0.08564731102869941,0.08029272976598908,0.10077168119589983,0.07908381714011097,0.09621657199380923,0.08626604771130682,0.08259835221803469,0.1115686041463051,0.08677992588904734,0.0842773526245902,0.23261460461676262,0.06856323453106877,0.07754067831727357,0.07067526172721271,,,,0.05581758865577424,0.06149512666385043,0.08459347634220926,0.07333792563244543,0.07218582111526325,0.06839042543755434,,0.08441951171316603
2023-07-31,0.051662899958848506,0.06583574597622195,0.07371020496851849,0.07646787417018075,,0.10546547031778512,0.058246227505738254,0.10636854941732651,0.31443130165374245,0.0920031793950638,0.0,0.2062391035902027,0.0867561223814914,,0.08416259658929394,0.08292718002661316,0.08410819658562804,0.15887268529977086,,0.07166399777960768,0.07239196399411367,0.0758588740854987,0.0815580116409087,0.08138614203493058,0.07093905097964089,0.06434033105772959,,0.061605578663198955,0.0,0.08786842419382772,0.0570502011562934,,0.048541693152342066,0.07389523453546272,0.06954181698641751,0.0578078308693456,,,0.06984389167468774,0.1350407487590402,0.09310338200547864,0.0,0.0732825257337624,0.07669854775674367,0.07269140747437586,,0.07793138754949626,,,0.08158728556757515,0.051020005722553156,0.10550595756924423,0.0,0.10138389832318538,0.0519283386152076,0.08485168450690425,0.08463651779773068,,0.06381199137218971,0.07294292614285747,0.0,0.08311035712122994,0.08695082115216891,,0.09690704701628323,0.07098431893115663,0.07138108299586109,0.0336208596254742,,0.046770202308248764,0.08373895138883529,0.07707109351689558,0.06899772808028064,0.09800665015104715,0.06747304223035938,0.0695844931516845,0.07729897984643905,,0.08978741226883437,0.064994697503458,0.06819758340791288,,,0.0906583024830506,0.0,,,0.2715377964776158,0.287356317743427,0.0546903231092631,0.0713002048921102,,0.06192893256979751,0.08140855893187578,0.08755385872216835,0.08784553275647353,0.08362160228478707,0.08188544838228279,0.07381631907163133,,0.053875038444322815,0.0048867772218376794,0.021326829104312283,0.07879544020056159,0.05764676295244615,0.08443022863063986,0.0634806537432615,0.10184038613860309,0.07525996097722427,0.07557445442814269,0.09297244563326991,,0.07447833751092799,,,0.09427918540147662,,0.08286253930879162,0.08116460152117748,0.12715096370153986,0.24279568400575421,0.09955123318395853,0.0,,0.05650184757280781,,0.11299840394887219,0.07959797061057676,0.10013457601481922,0.13368740937094392,0.08197672775458408,0.13338196106664837,0.10104140283028516,0.08217324426796282,0.08953577963088308,0.06932279751387117,0.06233351565362095,0.09824838727704602,0.07434069453045987,0.08201774626285029,0.08236233872786353,,,,0.03904843642113955,0.05527631399904901,0.09550876564541182,0.06609152868448939,0.08033545348593775,0.06477610645423816,,0.08516677972224909
2023-08-31,0.04685247066760986,0.09089647246968909,0.08849638395844094,0.07041634273711143,,0.09412561046461003,0.06597034921134588,0.11302201469516653,0.32684494577238615,0.09848095790402585,0.0,0.23166333436637074,0.09577218937754134,,0.08720492177512994,0.07918755155548195,0.07768658810373952,0.1366917170468825,,0.07070592293444292,0.07276399060197536,0.07530492781570776,0.09616277267668195,0.08963950818160239,0.0872977571429185,0.07860335756609542,,0.08374733362672349,0.0,0.09414473830236197,0.07368984054258111,,0.049090630772161525,0.09852697938061694,0.06135277897122064,0.07284049638821623,,,0.11072813166109087,0.11048788601792921,0.08963733340365698,1.0,0.07591529146507066,0.07830986342533434,0.06666165819958245,,0.08136925558261651,,,0.08108998688382149,0.06083030587345781,0.123750111930631,0.17381227823929293,0.11824416921693068,0.06758926738625635,0.08800444473687764,0.08821297978244423,,0.05988873478211003,0.0689162761535809,0.0,0.0855554617011677,0.08797525796407886,,0.0889568443958567,0.07671399600498766,0.07942082244805516,0.040190452725048814,,0.08163526221076148,0.07544977922769087,0.07070840355870187,0.07238291267065323,0.08614520629986623,0.07371393713605946,0.07263570216361442,0.06280542035526131,,0.09951083733693274,0.06892793692972046,0.34918712855532025,,,0.0853254611605182,0.0,,,0.1415851854783603,0.0,0.10323566773232128,0.0768471651080933,,0.07382488476996829,0.08727728161824426,0.08056054108772735,0.06820049376869629,0.07507511031654307,0.07323426545831434,0.08018379962203767,,0.05314022389132514,0.007849400403352816,0.017449223812619142,0.08374664725036286,0.07153498185695095,0.0872429794347433,0.06681199996799135,0.10837624375917759,0.0725868130986725,0.06939707959584254,0.09686831175686518,,0.07727456952069238,,,0.10247179313390264,,0.08853962729715313,0.08761942400590603,0.1308697750772801,0.21288627129799037,0.09223712457568303,0.0,,0.07667789985244125,,0.16989548883150646,0.08072019625400294,0.08552232875341899,0.09891488244211599,0.08622600657031794,0.13547771261421906,0.09551575638000845,0.12994004228419218,0.0855856745756292,0.07179154127533624,0.07200548662939082,0.03911925319050024,0.08366655528449471,0.0814065529471842,0.08491373329197383,,,,0.08753365061806258,0.061345051904219204,0.07183222052748793,0.07775488313358897,0.08399001870716051,0.10138868836315539,,0.07763467488974621
